Maand,Dag,Tmin,Tmax
1,1,-4.50E+00,1.50E+00
1,2,-2.70E+00,6.20E+00
1,3,2.40E+00,9.50E+00
1,4,9.00E-01,7.40E+00
1,5,8.00E-01,7.00E+00
1,6,2.40E+00,6.40E+00
1,7,4.20E+00,8.00E+00
1,8,7.00E+00,1.16E+01
1,9,9.60E+00,1.24E+01
1,10,1.10E+00,1.12E+01
1,11,3.00E-01,6.20E+00
1,12,4.10E+00,8.80E+00
1,13,6.20E+00,9.40E+00
1,14,8.80E+00,1.21E+01
1,15,5.70E+00,1.26E+01
1,16,3.30E+00,1.04E+01
1,17,4.60E+00,1.01E+01
1,18,1.20E+00,6.40E+00
1,19,-8.00E-01,7.00E+00
1,20,-9.00E-01,5.90E+00
1,21,-1.30E+00,5.50E+00
1,22,6.00E-01,4.00E+00
1,23,1.10E+00,3.30E+00
1,24,8.00E-01,1.70E+00
1,25,4.00E-01,2.00E+00
1,26,7.00E-01,8.40E+00
1,27,6.50E+00,8.90E+00
1,28,2.60E+00,7.80E+00
1,29,2.50E+00,7.00E+00
1,30,4.60E+00,1.10E+01
1,31,9.40E+00,1.23E+01
2,1,8.00E+00,1.22E+01
2,2,6.50E+00,1.03E+01
2,3,4.80E+00,1.05E+01
2,4,0.00E+00,7.10E+00
2,5,-3.40E+00,6.70E+00
2,6,6.00E-01,6.70E+00
2,7,1.90E+00,7.80E+00
2,8,1.40E+00,1.13E+01
2,9,7.00E+00,1.26E+01
2,10,4.00E+00,1.08E+01
2,11,3.60E+00,7.30E+00
2,12,2.00E+00,7.40E+00
2,13,2.20E+00,6.40E+00
2,14,5.30E+00,8.10E+00
2,15,6.70E+00,1.30E+01
2,16,8.00E+00,1.75E+01
2,17,5.20E+00,1.09E+01
2,18,4.50E+00,8.70E+00
2,19,3.10E+00,8.00E+00
2,20,4.30E+00,1.04E+01
2,21,2.90E+00,8.70E+00
2,22,6.10E+00,1.04E+01
2,23,4.30E+00,1.20E+01
2,24,2.60E+00,1.03E+01
2,25,2.60E+00,1.02E+01
2,26,5.00E-01,6.80E+00
2,27,3.00E-01,4.10E+00
2,28,8.00E-01,6.30E+00
2,29,4.80E+00,1.39E+01
3,1,4.20E+00,9.90E+00
3,2,3.40E+00,9.10E+00
3,3,1.50E+00,9.10E+00
3,4,2.00E+00,1.07E+01
3,5,3.00E+00,7.30E+00
3,6,3.30E+00,5.70E+00
3,7,1.80E+00,1.00E+01
3,8,7.40E+00,1.00E+01
3,9,6.00E+00,9.80E+00
3,10,5.80E+00,1.26E+01
3,11,7.30E+00,1.36E+01
3,12,4.90E+00,1.23E+01
3,13,-9.00E-01,8.60E+00
3,14,-2.40E+00,1.20E+01
3,15,7.40E+00,1.32E+01
3,16,4.10E+00,1.42E+01
3,17,3.00E+00,1.42E+01
3,18,6.40E+00,1.61E+01
3,19,5.60E+00,1.10E+01
3,20,2.90E+00,8.30E+00
3,21,-9.00E-01,8.70E+00
3,22,-8.00E-01,8.30E+00
3,23,-1.10E+00,9.00E+00
3,24,-1.10E+00,1.04E+01
3,25,-9.00E-01,1.20E+01
3,26,-6.00E-01,1.08E+01
3,27,1.00E+00,1.60E+01
3,28,1.20E+00,1.29E+01
3,29,-4.00E+00,6.30E+00
3,30,-5.90E+00,9.10E+00
3,31,-4.10E+00,8.70E+00
4,1,-4.50E+00,9.60E+00
4,2,2.30E+00,1.04E+01
4,3,-1.70E+00,1.06E+01
4,4,-2.90E+00,1.43E+01
4,5,4.30E+00,1.96E+01
4,6,7.20E+00,2.33E+01
4,7,7.50E+00,1.92E+01
4,8,5.70E+00,2.44E+01
4,9,5.40E+00,2.04E+01
4,10,3.30E+00,1.64E+01
4,11,9.00E-01,2.05E+01
4,12,2.10E+00,2.29E+01
4,13,4.30E+00,1.06E+01
4,14,2.00E-01,1.02E+01
4,15,-1.70E+00,1.76E+01
4,16,6.00E-01,2.17E+01
4,17,3.30E+00,1.72E+01
4,18,2.90E+00,2.13E+01
4,19,5.40E+00,1.72E+01
4,20,4.00E+00,1.74E+01
4,21,6.70E+00,1.82E+01
4,22,7.90E+00,2.04E+01
4,23,6.80E+00,2.26E+01
4,24,5.30E+00,1.96E+01
4,25,3.40E+00,1.60E+01
4,26,3.00E-01,1.69E+01
4,27,-1.00E-01,2.12E+01
4,28,7.30E+00,1.62E+01
4,29,8.90E+00,1.63E+01
4,30,8.40E+00,1.59E+01
5,1,6.70E+00,1.45E+01
5,2,4.80E+00,1.33E+01
5,3,5.00E+00,1.55E+01
5,4,1.70E+00,1.56E+01
5,5,-1.00E+00,1.49E+01
5,6,-3.00E-01,1.69E+01
5,7,-3.00E-01,1.99E+01
5,8,2.90E+00,2.15E+01
5,9,5.10E+00,2.42E+01
5,10,6.20E+00,2.39E+01
5,11,1.30E+00,1.30E+01
5,12,-1.60E+00,1.12E+01
5,13,2.00E-01,1.30E+01
5,14,-6.00E-01,1.40E+01
5,15,-1.80E+00,1.33E+01
5,16,1.30E+00,1.76E+01
5,17,1.40E+00,1.86E+01
5,18,4.60E+00,2.34E+01
5,19,7.60E+00,2.15E+01
5,20,7.80E+00,2.08E+01
5,21,7.70E+00,2.60E+01
5,22,1.33E+01,2.58E+01
5,23,1.17E+01,2.00E+01
5,24,1.05E+01,1.62E+01
5,25,6.40E+00,1.90E+01
5,26,3.60E+00,2.24E+01
5,27,7.10E+00,2.31E+01
5,28,5.40E+00,2.02E+01
5,29,3.00E+00,2.26E+01
5,30,7.70E+00,2.36E+01
5,31,9.50E+00,2.20E+01
6,1,9.80E+00,2.53E+01
6,2,1.05E+01,2.86E+01
6,3,1.20E+01,2.56E+01
6,4,9.20E+00,1.49E+01
6,5,6.90E+00,1.39E+01
6,6,7.00E+00,1.73E+01
6,7,9.50E+00,1.62E+01
6,8,9.00E+00,1.84E+01
6,9,1.03E+01,1.75E+01
6,10,1.09E+01,1.69E+01
6,11,1.21E+01,2.07E+01
6,12,1.35E+01,2.70E+01
6,13,1.52E+01,2.80E+01
6,14,1.38E+01,2.48E+01
6,15,1.58E+01,2.33E+01
6,16,1.57E+01,2.21E+01
6,17,1.57E+01,2.48E+01
6,18,1.35E+01,2.21E+01
6,19,1.18E+01,2.44E+01
6,20,9.80E+00,2.24E+01
6,21,9.00E+00,2.60E+01
6,22,1.07E+01,2.39E+01
6,23,9.50E+00,2.70E+01
6,24,1.25E+01,2.79E+01
6,25,1.40E+01,2.95E+01
6,26,1.74E+01,2.96E+01
6,27,1.80E+01,2.87E+01
6,28,9.80E+00,2.24E+01
6,29,1.16E+01,2.13E+01
6,30,1.32E+01,1.99E+01
7,1,1.09E+01,2.14E+01
7,2,1.17E+01,2.24E+01
7,3,1.26E+01,2.20E+01
7,4,1.41E+01,1.98E+01
7,5,1.52E+01,2.24E+01
7,6,1.04E+01,1.78E+01
7,7,7.20E+00,1.98E+01
7,8,1.18E+01,1.62E+01
7,9,1.46E+01,1.86E+01
7,10,6.50E+00,1.73E+01
7,11,5.70E+00,1.91E+01
7,12,5.60E+00,2.12E+01
7,13,7.80E+00,2.40E+01
